community_area,address
NEAR NORTH SIDE,329 N Dearborn St
WEST RIDGE,7033 N KEDZIE AVE
MORGAN PARK,1865 W Montvale Ave
SOUTH SHORE,7540 7554 S STONY ISLAND
LOOP,536 S Clark St
WEST TOWN,1621 W Wabansia Ave
LAKE VIEW,352 360 W WELLINGTON AVE
AVONDALE,3650 W School St
UPTOWN,4526  N SHERIDAN RD
EDGEWATER,1215 1225 W GRANVILLE AVE
LINCOLN PARK,2746 N Clybourn Ave
EDGEWATER,6150  N KENMORE AVE
WEST RIDGE,6119 6125 N WINCHESTER AVE
PORTAGE PARK,4815 4835 W BELLE PLAINE AVE
NEAR WEST SIDE,1337 W 15TH ST
NEAR WEST SIDE,2101 W Monroe
ALBANY PARK,4633 4645 N KEDZIE AVE
LAKE VIEW,1733 1735 W IRVING PARK RD
LAKE VIEW,640  W SHERIDAN RD
NORWOOD PARK,8101 W Higgins Rd
NEAR NORTH SIDE,1333  N CLEVELAND AVE
BRIDGEPORT,501 - 505 W 35th St
NEAR NORTH SIDE,60 W Walton St
WEST ENGLEWOOD,1340 W 71st St
LAKE VIEW,2970 N SHERIDAN RD
KENWOOD,4950 S Chicago Beach Dr
LOWER WEST SIDE,2800 S Western Ave
EAST GARFIELD PARK,119 S Central Park Blvd
DOUGLAS,400 E 33rd St
NEAR NORTH SIDE,1550 N Lake Shore Dr
NEAR SOUTH SIDE,1515 S Prairie Ave
NEAR NORTH SIDE,1242 N Lake Shore Dr
NEAR NORTH SIDE,170 W Oak St
NEAR WEST SIDE,330 N Clinton St
WOODLAWN,6253 S Cottage Grove Ave
NEAR SOUTH SIDE,1819 S MICHIGAN AVE
BURNSIDE,9130 S University Ave
ROGERS PARK,7451 7521 N CLARK ST
,630 N Franklin St
NEAR SOUTH SIDE,2255  S MICHIGAN AVE
LINCOLN PARK,660  W WRIGHTWOOD AVE
LOOP,801 S Wells St
FULLER PARK,4320 S Princeton
West Town,1664 W Division St
NEAR NORTH SIDE,360 N STATE ST
EDGEWATER,6339 N Sheridan Rd
LAKE VIEW,2816 2828 N BURLING ST
West Town,1521 W NORTH AVE
GREATER GRAND CROSSING,7037 S Rhodes Ave
NEAR WEST SIDE,122-134 S Aberdeen St
LOOP,1130 S Michigan Ave
NEAR NORTH SIDE,1336 1352 N SEDGWICK ST
NEAR WEST SIDE,1220 S Ashland Ave
Near West Side,831 43 W Adams St
NEAR NORTH SIDE,33 W Ontario St
EDGEWATER,1061  W ROSEMONT AVE
NEAR NORTH SIDE,440 N McClurg Ct
NEAR NORTH SIDE,222 Merchandise Mart Plz
AUSTIN,1450 N Cicero Ave
NEAR WEST SIDE,627 S Wood St
LOGAN SQUARE,1934 N Washtenaw Ave
Near West Side,311 N MORGAN ST
NEAR NORTH SIDE,330 N Wabash Av
WASHINGTON HEIGHTS,9535 S Loomis St
ROGERS PARK,1900 1912 W PRATT BLVD
BRIGHTON PARK,4700 S Kedzie Ave
LINCOLN PARK,2320 N Kenmore Ave
HYDE PARK,5301 5317 S HYDE PARK BLVD
LINCOLN PARK,607  W WRIGHTWOOD AVE
FOREST GLEN,4801 W Peterson Ave
LAKE VIEW,828  W GRACE ST
EDGEWATER,5427 N Broadway St
AUSTIN,2524 S Central Ave
NEAR WEST SIDE,1200 W MONROE
LOOP,151 E Wacker Dr
WEST ELSDON,3826 W 58th St
LINCOLN PARK,2247 N Halstead Ave
OHARE,5306  N CUMBERLAND AVE
AUBURN GRESHAM,8500 S Wood
NEAR SOUTH SIDE,1201 S Prairie Ave
AUSTIN,4837 W Erie St
LOOP,10 S STATE ST
LINCOLN PARK,443 447 W WRIGHTWOOD AVE
NEAR SOUTH SIDE,1629 S Prairie Ave
NEW CITY,3900 S Ashland Ave
LAKE VIEW,468  W MELROSE ST
ROGERS PARK,1707 W Morse Ave
LOOP,210 N Wells St
AUBURN GRESHAM,839 W 79TH ST
WASHINGTON HEIGHTS,400 W 95th St
LINCOLN PARK,2740 N PINE GROVE AVE
NEW CITY,4735 S Winchester Ave
Belmont Cragin,5525 W Diversey Ave
LOOP,311 S Wacker
NEAR NORTH SIDE,1040 N Lake Shore Dr
NEAR WEST SIDE,641 W Lake St
Lincoln Park,2350 N Lincoln Ave
HYDE PARK,5528 5530 S HYDE PARK BLVD
EDGEWATER,5856 5860 N BROADWAY
EDGEWATER,6171 N Sheridan Rd
NEAR WEST SIDE,550 W Fulton
DOUGLAS,3500  S GILES AVE
SOUTH SHORE,6700 S Shore Dr
LAKE VIEW,528 534 W ALDINE AVE
EDGEWATER,1423 W Bryn Mawr Ave
DOUGLAS,3533 S Giles Ave
Lake View,534 552 W Brompton Ave
LOOP,360 E South Water St
ROGERS PARK,1345 1359 W ESTES AVE
UPTOWN,4812 4846 N CLARK ST
LINCOLN SQUARE,1900 W Lawrence Ave
LOOP,124  W POLK ST
LAKE VIEW,331  W OAKDALE AVE
LOOP,77 W Jackson
WEST TOWN,1401 N California Ave
NEAR SOUTH SIDE,1620 S Michigan Ave
AVALON PARK,1334 E 79TH ST
NEAR NORTH SIDE,30  W ERIE ST
HUMBOLDT PARK,3656  W HURON ST
AUBURN GRESHAM,1330 1358 W 76th St
NEAR NORTH SIDE,757 N Orleans St
Loop,363 E Wacker Dr
NEAR WEST SIDE,765 W Adams St
West Town,504 N GREEN ST
NEAR NORTH SIDE,111 E Chestnut St
ARMOUR SQUARE,2108  S PRINCETON AVE
,24 East Washington Street
UPTOWN,5009  N SHERIDAN RD
LINCOLN PARK,401 411 W FULLERTON PKWY
LAKE VIEW,825 835 W CORNELIA AVE
PORTAGE PARK,5212 W Agatite
HYDE PARK,5236 5252 S HYDE PARK BLVD
PORTAGE PARK,4355 N Linder Ave
UPTOWN,840 850 W Argyle St
LOGAN SQUARE,1850 N Hermitage Ave
AVONDALE,3443  W ADDISON ST
NEAR NORTH SIDE,1  E SCHILLER ST
LAKE VIEW,3660 N Lake Shore Dr
Near North Side,750 N HUDSON AVE
ALBANY PARK,4848  N KEDZIE AVE
NEAR NORTH SIDE,645 N Kingsbury St
LAKE VIEW,331 W Surf St
NEAR NORTH SIDE,700 N Michigan Ave
NEAR NORTH SIDE,1418  N LAKE SHORE DR
LOOP,829 S WABASH AVE
EDGEWATER,5430 N. Sheridan Rd.
Uptown,811 W Agatite Ave
NEAR NORTH SIDE,101 113 W DIVISION ST
NEAR NORTH SIDE,1030 1032 N DEARBORN ST
NEAR SOUTH SIDE,1503 1509 S STATE ST
HERMOSA,2121 N Keeler Ave
"outside Chicago, in Bedford Park",7100 S Cicero Ave
HUMBOLDT PARK,620 N Sawyer Ave
LOOP,161 N Clark
LOOP,155 N Wacker Dr
UPTOWN,4840 N Marine Dr
NEAR NORTH SIDE,9 W Walton St
LAKE VIEW,707 W Sheridan Rd
NEAR WEST SIDE,200 210 S HALSTED ST
LOOP,427 S LaSalle St
NEAR NORTH SIDE,1 E Delaware Pl
SOUTH SHORE,7000 7008 S SOUTH SHORE DR
NEAR NORTH SIDE,650 W Scott
Auburn Gresham,1222 W 79th St
AUSTIN,4821 - 4951 W North Ave
NEAR SOUTH SIDE,212 E Cullerton St
SOUTH SHORE,7600 7612 S SOUTH SHORE DR
LOOP,7 W Madison St
IRVING PARK,4250 N St Louis Ave
UPTOWN,4701 4705 N BEACON ST
NEAR NORTH SIDE,444 N Wells St
LOOP,701 S Wells St
MONTCLARE,2845 N Newcastle Ave
UPTOWN,4601 4613 N SHERIDAN RD
LAKE VIEW,431  W OAKDALE AVE
EDGEWATER,1750 W Peterson Ave
OHARE,4600  N CUMBERLAND AVE
NORWOOD PARK,5625 N Mcvicker Ave
Uptown,4914 N CLARK ST
Kenwood,1120 1126 E 47th St
GRAND BOULEVARD,652  E 50TH ST
ROGERS PARK,1029 1051 W NORTH SHORE AVE
LOOP,20 N Clark St
,619 S LaSalle
NEAR WEST SIDE,560 - 566 W Lake St
AUSTIN,551 555 N PINE AVE
NEAR NORTH SIDE,1410 N STATE PKWY
WEST RIDGE,2110 W Greenleaf Ave
NEAR WEST SIDE,1835 W HARRISON ST
EAST GARFIELD PARK,3024 W Harrison
UPTOWN,1000 W LELAND AVE
EDGEWATER,1518 W Granville Ave
NEAR NORTH SIDE,179 E LAKESHORE DR
NEAR WEST SIDE,315 N RACINE AVE
LINCOLN PARK,1960 N Lincoln Park West
WASHINGTON PARK,5630  S MICHIGAN AVE
GAGE PARK,5248 S Sawyer Ave
ARMOUR SQUARE,2290 S Grove Street
HYDE PARK,5540  S HYDE PARK BLVD
DOUGLAS,3845  S STATE ST
OAKLAND,707 E 37th St
UPTOWN,4945 N Sheridan Rd
LINCOLN PARK,2322 2326 N COMMONWEALTH AVE
NEAR NORTH SIDE,1531 N Clybourn Ave
WEST TOWN,1147 N Western Ave
ROSELAND,11220 S Wallace St
ENGLEWOOD,513 W 72nd St
NEAR NORTH SIDE,30 W Chicago
HYDE PARK,5201 S Cornell Ave
NEAR WEST SIDE,150 N Clinton St
NEAR WEST SIDE,240 N Ashland Ave
LINCOLN SQUARE,1825 W Lawrence Ave
LAKE VIEW,3600 N Lake Shore Dr
SOUTH SHORE,7200  S SOUTH SHORE DR
NORTH CENTER,3330 N Western Ave
Pullman,10355 S WOODLAWN AVE
NEAR NORTH SIDE,211 E Ontario St
Hyde Park,1414 E 59th St
BRIGHTON PARK,3456 W 38th Street
ROGERS PARK,6830  N SHERIDAN RD
LINCOLN PARK,2350 N Racine Ave
NEAR WEST SIDE,404 W HARRISON ST
NEAR WEST SIDE,118 S Clinton St
DOUGLAS,60 E 32nd Street
AVALON PARK,1200  E 78TH ST
WEST ENGLEWOOD,6740 S Paulina St
DUNNING,6530 W Irving Park Rd
LAKE VIEW,3000 N SHERIDAN RD
BRIDGEPORT,844 W 32nd St
North Park,5801 N Pulaski Rd - Bldg G
WEST LAWN,7353  S CICERO AVE
LAKE VIEW,630 644 W ADDISON ST
LOOP,125 S Clark St
NEAR WEST SIDE,659 W Randolph St
LOWER WEST SIDE,2031 S Peoria St
NEAR WEST SIDE,740 W FULTON ST
HEGEWISCH,3454 - 3620 E 118th St
NEAR NORTH SIDE,1530 1534 N STATE PKWY
LAKE VIEW,424  W DIVERSEY PKWY
NEW CITY,5401 S Union Ave
Douglas,3041 S Michigan Ave
,2201 Lakeside Blvd
BELMONT CRAGIN,2532 2554 NARRAGANSETT AVE
SOUTH SHORE,1949 1959 E 71ST ST
AUBURN GRESHAM,1540 W 84TH ST
GRAND BOULEVARD,4700  S COTTAGE GROVE AVE
WEST PULLMAN,11513 S Ada St
LOOP,850 S CLARK ST
LOOP,39 S STATE ST
NEAR NORTH SIDE,505 N Lake Shore Dr
SOUTH LAWNDALE,3030 W 21st Pl
NEAR NORTH SIDE,40 E Oak St
AUSTIN,200  N CENTRAL AVE
UPTOWN,849 863 W BUENA AVE
NEAR WEST SIDE,832 854 W FULTON MARKET
SOUTH SHORE,7300 S SOUTH SHORE DR
KENWOOD,5000 S East End Ave
NEAR NORTH SIDE,225 E Chicago Ave
ROGERS PARK,7600 N Bosworth
NEAR WEST SIDE,333 S Ashland Ave
SOUTH SHORE,6938 S E End Ave
BRIDGEPORT,1010 W 35TH ST
ROGERS PARK,7301 N SHERIDAN RD
GREATER GRAND CROSSING,7240 S Wabash Ave
HYDE PARK,5225  S HARPER AVE
AVALON PARK,8045 S Kenwood Ave
EDGEWATER,5757 N Sheridan Rd
LOOP,151 - 155 N Michigan Ave
WEST TOWN,770 N Halsted St
LOOP,14 E Jackson Blvd
NEAR NORTH SIDE,990 N Lake Shore Dr
LOOP,318 W Adams St
GRAND BOULEVARD,4930 S Langley Ave
NEAR WEST SIDE,1312 S Racine Ave
NEAR WEST SIDE,1035 W Van Buren St
NEAR NORTH SIDE,253 E DELAWARE PL
NEAR NORTH SIDE,1118 N State Street
PORTAGE PARK,5700 W BERTEAU AVE
DOUGLAS,2951 S King Dr
Douglas,3720 S DEARBORN ST
WEST RIDGE,7345 N Washtenaw Ave
Near West Side,601 W Polk Street
EAST GARFIELD PARK,3222 W Maypole Ave
UPTOWN,4344 4360 N BROADWAY
WEST TOWN,2216 W Hirsch St
Near North Side,4 E ELM ST
Near West Side,1342 W TAYLOR ST
West Town,1554 N Talman Ave
Grand Boulevard,4424 S COTTAGE GROVE AVE
BELMONT CRAGIN,2727 N Long Ave
NEAR NORTH SIDE,401 W ONTARIO ST
DOUGLAS,3450 S State Street
NEAR NORTH SIDE,25 E Pearson St
