community_area,address
SOUTH CHICAGO,3039 E 91ST ST
LAKE VIEW,1301 W Fletcher Street
NEAR NORTH SIDE,100 E Walton Street
WEST ENGLEWOOD,6010 S Throop St
NEAR NORTH SIDE,111 W. Illinois St.
ASHBURN,8101-8159 S. CICERO AVE
UPTOWN,4950 N. Marine Drive
LOOP,111 S. Michigan Ave.
EAST GARFIELD PARK,3024 W Harrison
NEAR NORTH SIDE,900 North Franklin Street
EDGEWATER,6166 N. Sheridan Road
SOUTH SHORE,7300 S. South Shore Drive
LOOP,1130 S Michigan Ave
NEAR SOUTH SIDE,1550 S Indiana Ave
LAKE VIEW,452 Aldine Ave
ENGLEWOOD,6006 S Peoria St
LOGAN SQUARE,2705-2749 N. Elston
West Ridge,3101 W Touhy Ave
NEAR NORTH SIDE,1030 N State Street
NEAR NORTH SIDE,1225 N. Wells Street
AUSTIN,6333 W Bloomingdale Ave
WOODLAWN,1005 East 60TH Street
NEAR NORTH SIDE,1440 North State Street
LAKE VIEW,3100 N. Sheridan Rd.
LOGAN SQUARE,2647 N Elston Avenue
NEAR SOUTH SIDE,1600 S Indiana Ave
NEAR WEST SIDE,1747 W. Roosevelt
DOUGLAS,3500 S Giles Street
LOOP,69 W. Washington Street
OHARE,5501-5525 N Chester
LAKE VIEW,430 W. Diversey
HYDE PARK,"5316 S Dorchester Ave,"
NEAR NORTH SIDE,401 East Ontario
ASHBURN,8445 S Kolin Ave
UPTOWN,1338-1354 W Argyle St
KENWOOD,4800 S. Chicago Beach Drive
HYDE PARK,947 E. 58th St.
Lincoln Park,513 Fullerton W. Pkwy.
OAKLAND,4161 S. Drexel
DOUGLAS,3440 S Cottage Grove
WEST TOWN,1111 N Francisco Av
LOOP,125 S Wacker Drive
LOOP,20 N. Michigan Ave
WEST TOWN,2009 W SCHILLER ST
NEAR NORTH SIDE,676 N St. Clair St
AVONDALE,3401 California
BELMONT CRAGIN,2715 N. Cicero
North Park,3900 W. Bryn Mawr Ave.
Loop,20 North State Street
UPTOWN,4812 4846 N CLARK ST
North Center,3946 N Ravenswood Ave
LOOP,124 W. Polk St.
NEAR WEST SIDE,200 210 S Halsted St
HUMBOLDT PARK,1425 N TRIPP AVE
WEST TOWN,2233 West Division St
SOUTH LAWNDALE,2510 S Kildare Ave
NEAR NORTH SIDE,1350 N Wells St
NEAR NORTH SIDE,161 W Kinzie St
NEAR SOUTH SIDE,1200 South Lake Shore Drive
WEST LAWN,4300 W Ford City Dr 105
West Town,1664 W Division St
WEST RIDGE,2025 w granville
EDGEWATER,6300 N. Sheridan Rd.
SOUTH SHORE,2101 E 71ST ST
HUMBOLDT PARK,520 N Ridgeway Ave
NEAR WEST SIDE,344 N Canal St.
EDGEWATER,5815 N Sheridan Rd
NEAR NORTH SIDE,400 E Ohio Street
OHARE,8755 W. Higgins Road
LOOP,303 E. Wacker
AVONDALE,3119 N. Pulaski RD
SOUTH LAWNDALE,3120 S Kostner Ave
LOOP,400 S. State St.
SOUTH SHORE,7337 S. South Shore
EAST GARFIELD PARK,271 N. Albany
NORTH LAWNDALE,3158 W. Roosevelt
NEAR NORTH SIDE,1000 N. LaSalle St.
WEST RIDGE,7248 7256 N WESTERN AVE
WEST RIDGE,2112 W PETERSON AVE
AUSTIN,1450 N Cicero Ave
WEST ENGLEWOOD,6130 S Wolcott Ave
KENWOOD,5020-5050 S Lake Shore Drive
UPTOWN,833 W.Buena Avenue
DOUGLAS,3105 South Dearborn
Near South Side,221 Cullerton St.
LOOP,224 South Michigan Avenue
GAGE PARK,5410 S Saint Louis Ave
GRAND BOULEVARD,4930 S Cottage Grove Ave
LINCOLN PARK,1872 N Clybourn Ave
LOOP,225 West Washington
AVONDALE,3212 W George St
UPTOWN,1207 West Leland Avenue
NEAR NORTH SIDE,222-232 W. Division St.
LOWER WEST SIDE,1624 W 19th St
LINCOLN PARK,1150 W. Fullerton
Uptown,906-934 W Sunnyside
ALBANY PARK,3729 W. Leland Ave.
EDGEWATER,6157 N. Sheridan Rd
UPTOWN,4945 N SHERIDAN RD
EDGEWATER,6301 N Sheridan Road
LOOP,226 West Jackson Blvd.
NEAR NORTH SIDE,100 East Chestnut
LOGAN SQUARE,2758-2768 N. Milwaukee
LOOP,47 W. Polk Street
LOGAN SQUARE,2705-2749 N. Elston
Loop,621 S. Plymouth Ct.
IRVING PARK,3900 N Lawndale Ave
LOOP,29 E. Madison
DOUGLAS,2921 S Michigan
LOOP,30 North LaSalle Street
LOOP,343 S Dearborn St
SOUTH SHORE,7020 S Jeffery BLVD
CHATHAM,8306 S St Lawrence Ave
NEAR NORTH SIDE,321 North Clark
ROSELAND,10426 S. Michigan Avenue
NEAR NORTH SIDE,445 East Ohio Street
NEAR NORTH SIDE,1516 N. State Pkwy.
ROGERS PARK,1020 W Sheridan Rd
LOOP,111 West Jackson Blvd
ARCHER HEIGHTS,5101 S Keeler
WEST ELSDON,5300 5308 S PULASKI RD
NEAR SOUTH SIDE,1911 S Indiana Ave
NEAR NORTH SIDE,100 E Walton Street
NEAR WEST SIDE,1222 W Roosevelt Sq Rd
GARFIELD RIDGE,5839 S. Harlem Avenue
UPTOWN,800 W. Lawrence
LOOP,525 S State St
LOOP,300 East Randolph
OHARE,8500 west bryn mawr ave
WEST TOWN,2216 W HIRSCH ST
EDGEWATER,5733 N. Sheridan Road
AUSTIN,1601 N Harlem Ave
HYDE PARK,5235 S Harper Court
LINCOLN SQUARE,5330 N DAMEN AVE
NORTH PARK,"5801 N. Pulaski Rd., Bldg. H"
LOGAN SQUARE,2061 N. Campbell
Lake View,3140 N Sheffield Ave
NEAR NORTH SIDE,25 E. Oak St.
UPTOWN,5040 5060 N BROADWAY
JEFFERSON PARK,5353 N. Elston
EDGEWATER,5220-5224 N Kenmore
NEAR NORTH SIDE,1100 N. Dearborn St.
LOWER WEST SIDE,2200 S. Western Ave
EAST GARFIELD PARK,212 South Francisco Ave
WEST TOWN,1170 W Erie
OHARE,8765 W. Higgins Road
ROGERS PARK,1763 W Howard St
NEAR WEST SIDE,305 N. Canal St
WEST TOWN,1419 West Blackhawk
NEAR NORTH SIDE,50 East Bellevue Place
WOODLAWN,6650 S Ellis Ave
WEST RIDGE,2110 W Greenleaf Ave
NEAR NORTH SIDE,1550 N. Lake Shore Drive
BRIDGEPORT,533 W 27TH ST
LOOP,401 S LASALLE ST
BELMONT CRAGIN,2941 N Mcvicker Ave
LINCOLN PARK,2746 N. Clybourn Avenue
LOOP,116 S. Michigan Ave.
CLEARING,6140 S Melvina Ave
WEST TOWN,1148 N Honore St
WASHINGTON HEIGHTS,9525 S. Halsted St.
LAKE VIEW,555 West Cornelia Ave.
UPTOWN,917 W. Eastwood Ave
GRAND BOULEVARD,750 East 40th Street
NEAR WEST SIDE,2045 W. Jackson Blvd
LOOP,65 E Wacker Place
LINCOLN SQUARE,4500 N Winchester Ave
WEST TOWN,400 N. Clinton Street
DUNNING,7707 W. Irving Park Road
NEAR NORTH SIDE,Two East Oak Street
LOOP,701 South Wells Street
EDGEWATER,5320 N Sheridan Road
LOOP,1130 S Michigan Ave
LOOP,161 North Clark
NEAR NORTH SIDE,20 E Cedar St
LOOP,1 West Washington St
WOODLAWN,6445 6458 S Kenwood Ave
NEAR NORTH SIDE,251 E Huron St.
CHICAGO LAWN,6011 S Rockwell St
HYDE PARK,5460-5472 W. Woodlawn
LOOP,8 E Randolph
LAKE VIEW,3900 N. Pine Grove
NEAR SOUTH SIDE,1212 S PLYMOUTH CT
NEAR NORTH SIDE,1340 N Dearborn
NEAR NORTH SIDE,1140 N LaSalle St
NEAR NORTH SIDE,747 N LaSalle St
NEAR WEST SIDE,1312 South Racine
LAKE VIEW,855 W. Aldine Ave
NEAR NORTH SIDE,101 W. Grand Ave.
NEAR NORTH SIDE,350 North Orleans Street
WEST TOWN,1565 1581 N Milwaukee Ave
LOGAN SQUARE,2021 N Point St
WEST PULLMAN,12339 S Normal Ave
NEAR NORTH SIDE,211 E. Chicago Ave.
NEAR NORTH SIDE,30 W.Oak Street
DOUGLAS,2701 S Indiana Ave
NEAR NORTH SIDE,21 W Chestnut St
WEST ELSDON,4034 W 56th St
UPTOWN,4343 N. Clarendon
IRVING PARK,4058 West Melrose St
HYDE PARK,1451 E. 55th Street
LOOP,300 West Adams
NEAR NORTH SIDE,21 E. Chestnut
NEAR NORTH SIDE,440 North Wells Street
LINCOLN PARK,2311 N. Racine
UPTOWN,820 W Lawrence Ave
NEAR NORTH SIDE,211 E. Chicago Ave.
LINCOLN PARK,2751-2765 N. Pine Grove Ave.
LINCOLN SQUARE,5157 N Francisco Ave
HYDE PARK,5471 S. Hyde Park Blvd.
PORTAGE PARK,4612 4652 W IRVING PARK RD
LOOP,122 - 160 W. 79th
NEAR WEST SIDE,1401 W. Roosevelt
LAKE VIEW,3150 N. Lake Shore Drive
Near South Side,1345 S. Wabash Ave.
NEAR WEST SIDE,560 - 566 W. Lake
NEAR NORTH SIDE,900 N Hudson
LINCOLN PARK,2728 N Hampden Court
Hyde Park,1414 E. 59th Street
NEAR NORTH SIDE,210 E Pearson st
DOUGLAS,401 E. 32nd Street
NEAR NORTH SIDE,700 N Larrabee
NEAR NORTH SIDE,303 West Ohio Street
WEST TOWN,515 N. Noble St.
NORTH CENTER,3149 N Wolcott Ave
ROGERS PARK,7219 N Sheridan Rd
NEAR NORTH SIDE,505 N. Michigan Ave.
NORWOOD PARK,7262 West Peterson Avenue
NEAR WEST SIDE,1634 W Polk
UPTOWN,640 W Irving Park Rd
NEAR NORTH SIDE,155 E. Superior Street
WASHINGTON PARK,5604 5624 S WABASH AVE
LOOP,520 S State Street
LOOP,205/225 N Michigan Ave
NEAR NORTH SIDE,165 E Ontario St
NEAR NORTH SIDE,118 E Erie Street
Near West Side,11 S Green St
LINCOLN PARK,1150 W. Fullerton
LAKE VIEW,3941 N. Pine Grove
DOUGLAS,340 E 38TH ST
MORGAN PARK,1744 W Pryor Ave
SOUTH SHORE,7435 S Kingston
ASHBURN,8445 S Kolin Ave
LOOP,1 N. Franklin
NEAR WEST SIDE,122-134 S. Aberdeen
LOOP,53 W. Jackson Blvd
NEAR NORTH SIDE,1313 N Ritchie Court
EAST GARFIELD PARK,2641 W. Harrison Street
ROGERS PARK,1327-1337 W. Lunt Ave.
LOOP,111 South Wacker
WEST RIDGE,2416-2458 W. Greenleaf Ave
NEAR WEST SIDE,733 West Madison Street
NORWOOD PARK,6634 W Raven St
WOODLAWN,6400 S. Kimbark Avenue
WEST TOWN,2233 W Ohio St
SOUTH SHORE,6940 S Merrill Ave
BELMONT CRAGIN,2520 N. Narragansett Ave
CHICAGO LAWN,6550 S Richmond St
NEAR WEST SIDE,506 W Harrison St.
HYDE PARK,5527 5537 S EVERETT AVE
Edgewater,5400 Sheridan Road
NEAR NORTH SIDE,710N Lakeshore Dr
CALUMET HEIGHTS,2320 E. 93rd. Street
MOUNT GREENWOOD,10841 S Homan Ave
LOOP,430 S. Michigan Ave
HERMOSA,4626 W. Diversey Ave.
LINCOLN PARK,1515 W Webster Avenue
Kenwood,4917 S. Drexel
NORTH LAWNDALE,3301 West Arthington Street
PORTAGE PARK,5330 W BERTEAU AVE
NEAR WEST SIDE,1300 W. Jackson Blvd.
LAKE VIEW,2828 N Burling Street
EAST GARFIELD PARK,3222 W. Maypole
LOGAN SQUARE,2600 N WESTERN AVE
LINCOLN PARK,1435-71 Webster Place
ROGERS PARK,1000-08 W Loyola Ave
NEAR WEST SIDE,525 West Monroe Street
AUBURN GRESHAM,7901 South Sangamon
NEW CITY,4640 S. Halsted
NEAR NORTH SIDE,1140 N LASALLE ST
NEAR NORTH SIDE,33 W Illinois
DOUGLAS,60 East 36th Pl
HYDE PARK,1451 E. 55th Street
LOOP,233 S Wacker Drive
NEAR WEST SIDE,16-40 S. Halsted
DUNNING,4300 North Narragansett
BELMONT CRAGIN,2301 N Central Ave
LOOP,72 E 11th St
NEAR NORTH SIDE,1010 N Wells St
NEW CITY,4735 S Winchester Ave
DOUGLAS,521 E 35th St
NEAR WEST SIDE,400 South Jefferson Street
WEST TOWN,740 N. Milwaukee Ave.
ROGERS PARK,7414 N Wolcott Ave
LAKE VIEW,655 West Irving Park Road
UPTOWN,4450 North Clark Street
LAKE VIEW,2909 N. Sheridan Rd.
LOOP,100 W. Randolph St.
ENGLEWOOD,6800 S NORMAL BLVD
NORWOOD PARK,7342 Foster Ave
LOOP,2 North LaSalle
LINCOLN PARK,1601 N Clark Street
HYDE PARK,5730 South Ellis Avenue
NEAR NORTH SIDE,1225 N. Wells Street
CHATHAM,112 W 87th Street
NEAR NORTH SIDE,33 W Illinois
NORTH LAWNDALE,"3816 W. 16th St., Chicago, IL 60623"
LOOP,420 E. Waterside Dr
NEAR WEST SIDE,1447 S. ASHLAND AVE
LOOP,218 South Wabash
KENWOOD,1605 E. 50th Street
LOOP,20 N. Michigan Ave
HEGEWISCH,2949 East 131st Street
LOOP,8 E. 9th St.
NEAR WEST SIDE,820 W. Jackson
OHARE,5440 North Cumberland Ave
NEAR WEST SIDE,2333 W. JACKSON BLVD.
ROSELAND,11445 S State St
NEAR NORTH SIDE,845 North State Street
HUMBOLDT PARK,3814 Iowa Street
South Deering,2260 E. 99th Street
NEAR NORTH SIDE,211 W Scott
NEAR NORTH SIDE,710 N Lakeshore Drive
EDGEWATER,1020 West Thorndale Ave
NEAR SOUTH SIDE,61 W. 15th St.
EDGEWATER,6157 N. Sheridan Rd
NEAR NORTH SIDE,150 West Maple Street
HUMBOLDT PARK,1745 North Keystone
ROGERS PARK,7600 N. Bosworth Ave.
LOOP,116 S. Michigan Ave.
NEAR NORTH SIDE,70 West Huron Street
HYDE PARK,1126 East 59th Street
LOOP,141 W. Jackson Blvd.
NEAR NORTH SIDE,510 W Erie St
NEAR WEST SIDE,26 North Halsted
CHICAGO LAWN,3400 W 65th Place
MORGAN PARK,11030 S. Longwood Dr
LOOP,1 N. Franklin
WEST TOWN,1232 W North Ave
HUMBOLDT PARK,3444 W WABANSIA AVE
GRAND BOULEVARD,4214 S Saint Lawrence Ave
ASHBURN,8010 S KOSTNER AVE
LOGAN SQUARE,2112 N Ashland Ave
NEAR SOUTH SIDE,1631 S. Michigan Ave.
NEW CITY,3900 S Ashland Ave
NEAR NORTH SIDE,1200 North Lake Shore Drive
AUSTIN,335 N. Menard Avenue
NEAR WEST SIDE,550 West Washington
NEAR NORTH SIDE,401 N Michigan Avenue
EDGEWATER,5439-5443 N Kenmore
UPTOWN,4200 N. Marine Drive
OHARE,4734 N. Cumberland Ave.
AUBURN GRESHAM,7901 South Sangamon
LOOP,642 S Clark ST
MCKINLEY PARK,3537 S Paulina St
Norwood Park,5831 N Northwest Hwy
NEAR NORTH SIDE,747 N LASALLE DR
LOOP,150 South Wacker
NEAR WEST SIDE,12 S Oakley Blvd
CLEARING,6140 S Melvina Ave
LOOP,55 West Wacker Drive
NEAR NORTH SIDE,1001 N. Crosby
NEAR NORTH SIDE,500 N Michigan
WEST RIDGE,7416 N Ridge Rd.
ENGLEWOOD,900 W 63rd Parkway
NORTH PARK,5500 N CHRISTIANA
Hyde Park,5107 S Blackstone Ave
NEAR NORTH SIDE,230 East Ohio Street
LOOP,131 S. Dearborn
NEAR WEST SIDE,111 South Morgan Street
NEAR NORTH SIDE,300 W. Hill St
Lake View,3151 N. Lincoln Ave/
NEAR WEST SIDE,1301 W. Washington Boulevard
NEAR NORTH SIDE,840 West Blackhawk
DUNNING,6024 W WARWICK AVE
LOOP,120 North LaSalle Street
Near North Side,1500 N. Clybourn Avenue #C104
HYDE PARK,5100 Hyde Park Boulevard
Loop,200 N Michigan Ave
EDGEWATER,5855 N. Sheridan
UPTOWN,840 W. Irving Park Rd
LAKE VIEW,855 W. Aldine Ave
NEAR WEST SIDE,549 West Randolph Street
GREATER GRAND CROSSING,7200 South Ingleside
NEAR NORTH SIDE,55 E Pearson St.
NEAR SOUTH SIDE,2222 S MICHIGAN AVE
LOOP,500 S Dearborn Street
LOOP,33 North LaSalle Street
Loop,20 North State Street
LOOP,177 North State
NEAR NORTH SIDE,445 East North Water
Englewood,6307 S. Stewart Ave
Hyde Park,5107 S Blackstone Ave
ENGLEWOOD,6201 S. Emerald
NEAR WEST SIDE,26 North Halsted
NEAR SOUTH SIDE,2030 S State St
AUBURN GRESHAM,1626 W 87th St
DOUGLAS,2801 S King Drive
HERMOSA,2121 N Keeler Ave
Uptown,840-846 W. Ainslie St.
LAKE VIEW,3660 North Lake Shore Drive
CHATHAM,35 W. 87TH STREET
NEAR NORTH SIDE,999 N. Lake Shore Drive
NORTH CENTER,2501 W Addison St
LINCOLN PARK,2625 N Orchard St
UPTOWN,850 W. Irving Park Rd
NEAR NORTH SIDE,1540 N. State Pkwy.
WEST TOWN,1551 North Kedzie
WEST GARFIELD PARK,4320 4326 W MADISON ST
LOOP,610 S. Michigan Ave
LAKE VIEW,3170 N Sheridan Road
WOODLAWN,1313 East 60th street
ROGERS PARK,1230 West Greenleaf
NEAR NORTH SIDE,520 N. Kingsbury
Kenwood,4917 S. Drexel
WEST RIDGE,7345 N WASHTENAW AVE
LOWER WEST SIDE,2031 S PEORIA ST
NEAR SOUTH SIDE,1911 S INDIANA AVE
UPTOWN,5030 N Marine Dr
KENWOOD,4940 S. East End Ave.
OAKLAND,4048 S. Lake Park
NEAR WEST SIDE,222 South Riverside Plaza
JEFFERSON PARK,5353 N. Elston
OHARE,8500 west bryn mawr ave
NEAR NORTH SIDE,1212 N Lake Shore Drive
WEST LAWN,4707 W Marquette Rd
AUSTIN,143 N Parkside Avenue
LAKE VIEW,1301 W Fletcher Street
NEAR NORTH SIDE,1 W Superior St.
LOOP,190 South LaSalle
LOOP,610 S. Michigan Ave
HYDE PARK,5530 South Ellis Avenue
NEAR NORTH SIDE,161 W Kinzie St
NEAR NORTH SIDE,250 E Superior Street
NEAR WEST SIDE,1101 W JACKSON BLVD
LAKE VIEW,441 W. Oakdale Ave.
UPTOWN,4851-4887 N. Broadway
WASHINGTON PARK,5235 S State St
LOOP,11 East Adams
NEAR NORTH SIDE,400 North McClurg
NEAR WEST SIDE,833 West Jackson
Near North Side,1400 N State Parkway
LAKE VIEW,1500 West Belmont Ave
OHARE,4734 Pueblo
LINCOLN PARK,2550 N Clybourn Ave
NEAR NORTH SIDE,20 West Kinzie Street
LOOP,180 N Wacker Dr
Near West Side,1609 W. Warren BLVD.
EDGEWATER,5320 N Sheridan Road
LOOP,520 s. michigan ave.
AVONDALE,3986 W. Barry Ave.
LOWER WEST SIDE,2520 S Western Ave
BELMONT CRAGIN,6525 W DIVERSEY AVE
SOUTH LAWNDALE,2700 S. California Ave.
LOOP,65 E. Monroe St.
Avalon Park,1210 E. 78th Street
NEAR NORTH SIDE,900 N. HUDSON
NEAR NORTH SIDE,1036 N Dearborn St
ROGERS PARK,7301 N. Sheridan Rd.
NEAR WEST SIDE,506 W Harrison St.
JEFFERSON PARK,4840 N LINDER AVE
BRIDGEPORT,3527 S Wallace St
IRVING PARK,4257 N Tripp Ave
LOOP,226 West Jackson Blvd.
LOOP,123 N Wacker
GARFIELD RIDGE,5829 S. ARCHER AVE.
NEAR NORTH SIDE,200 W. Grand Ave.
NEAR WEST SIDE,627 W. Wood St.
NEAR NORTH SIDE,1540 North State Parkway
Near West Side,932 W WASHINGTON BLVD
GREATER GRAND CROSSING,7311 7339 S COTTAGE GROVE AVE
NEAR NORTH SIDE,700 N Michigan Avenue
LINCOLN PARK,2647 2679 N Halsted St
JEFFERSON PARK,5025 N Laramie Ave
LOOP,332 South Michigan Ave.
ARMOUR SQUARE,2734 South Wentworth Avenue
BELMONT CRAGIN,2231 N CENTRAL AVE
LINCOLN PARK,2250 N. Sheffield
NEAR NORTH SIDE,1130 N. Dearborn
NEAR WEST SIDE,111 S. Morgan Street
NEAR WEST SIDE,1035 W Van Buren Street
LOOP,121 West Wacker Drive
SOUTH SHORE,7100 S. South Shore
NEAR NORTH SIDE,1220 N State Parkway
NEAR NORTH SIDE,233 E. Erie
LOOP,175 N. Harbor Drive
LOOP,80 W. Harrison St.
LAKE VIEW,1001 W BELMONT AVE
LOOP,19 South LaSalle
LOOP,150 W Roosevelt Road
LOOP,280 S. Columbus Dr.
SOUTH LAWNDALE,3740 W 31st St
AUSTIN,2524 S Central Ave
WEST TOWN,1551 North Kedzie
WASHINGTON HEIGHTS,1309 W. 95th St.
NEAR SOUTH SIDE,1819 S Michigan Ave
EDGEWATER,6030 N. Sheridan Rd
NEAR NORTH SIDE,1450 N. Astor St
NEAR NORTH SIDE,1555 N Dearborn Parkway
LAKE VIEW,1617-1633 W Belmont Ave
ENGLEWOOD,245 W 57TH ST
NEAR NORTH SIDE,300 N State Street
NEAR WEST SIDE,15-25 S. Throop St.
AUSTIN,4938 W. Quincy Street
LAKE VIEW,640 W. Sheridan Road
UPTOWN,4536 North Magnolia
LOOP,600 S Michigan Ave
BEVERLY,9831 South Western Avenue
NORTH CENTER,2501 W Addison St
WEST ENGLEWOOD,1340 W 71st St
NEAR SOUTH SIDE,100 E 14th Street
NEAR NORTH SIDE,1540 N. LaSalle St.
SOUTH SHORE,7345 S. South Shore Drive
ENGLEWOOD,6554 S May St
UPTOWN,4401-09 N. Malden St.
GREATER GRAND CROSSING,6415 S. Calumet Ave
LOOP,171 W Randolph Street
LAKE VIEW,3318 N. Lake Shore`
NEAR NORTH SIDE,601-623 N. State St.
NEAR NORTH SIDE,633 North St Clair
NEAR SOUTH SIDE,1211 S. Prairie Private
HYDE PARK,5460-5472 W. Woodlawn
MORGAN PARK,11730 S. Marshfield Ave.
LAKE VIEW,337-339 W. Barry Ave.
WEST ENGLEWOOD,7030 S Ashland Avenue
LOWER WEST SIDE,1940 W 18th St
UPTOWN,4260 N. Broadway St.
Humboldt Park,825 N. Christiana
NEAR WEST SIDE,211 S LAFLIN ST
NEAR WEST SIDE,600 W. Jackson Blvd.
NEAR NORTH SIDE,2 East Erie Street
LOOP,111 South Wacker
UPTOWN,4242 N. Sheridan Rd.
NEAR WEST SIDE,54 N Hermitage Ave
NEAR NORTH SIDE,645 N. Kingsbury Street
NEAR NORTH SIDE,451 W. Huron St.
NEAR WEST SIDE,909 W. Washington St.
AUBURN GRESHAM,1230 W. 76th St
LINCOLN SQUARE,4540 N CAMPBELL AVE
LOOP,412 S WELLS ST
LAKE VIEW,639 - 655 W. Grace Street
NEAR NORTH SIDE,501-515 N. Clark St.
NEAR WEST SIDE,120 North Racine
HYDE PARK,5500 S. Shore Drive
NEAR NORTH SIDE,1030 n Dearborn st
LOOP,542 S Dearborn
DOUGLAS,3001 S Michigan Ave
Near West Side,831-43 W. Adams St.
LOOP,155 N. Wacker
GAGE PARK,3244 W. 59th Street
SOUTH SHORE,7500 S SOUTH SHORE DR
LINCOLN PARK,2314 N. Lincoln Park West
LOOP,601 South LaSalle Street
LAKE VIEW,450 W. Melrose St.
ENGLEWOOD,5515 South Lowe Ave
NEAR NORTH SIDE,814 W. Eastman
NEAR WEST SIDE,550 West Jackson Boulevard
NEAR NORTH SIDE,150-160 E. Huron
UPTOWN,5000 N. Marine Dr.
LOOP,230 N Michigan Ave
WEST TOWN,1405 N. Washtenaw
NEAR SOUTH SIDE,1211 S. Prairie Private
SOUTH SHORE,6900 S. Crandon Ave
NEAR NORTH SIDE,1132 West Blackhawk
NEAR NORTH SIDE,1209 North Astor Street
NEAR NORTH SIDE,220 e. chicago ave.
LOOP,205 W. Monroe
LAKE VIEW,533-549 W BARRY AVE
NORWOOD PARK,5625 N Mcvicker Ave
LOOP,150 North Wacker Drive
UPTOWN,869 Buena
NEAR WEST SIDE,16-40 S. Halsted
North Center,2324 W Irving Park Rd
NEAR NORTH SIDE,25 E Superior
ROSELAND,10115 S Prairie Ave
NEAR NORTH SIDE,800 N. Michigan Ave
NEAR NORTH SIDE,219 E. Lake Shore Drive
HYDE PARK,1126 East 59th Street
NEAR WEST SIDE,125 South Jefferson Street
LAKE VIEW,510-24 West Wellington Ave
LAKE VIEW,712 West Diversey Parkway
NEAR WEST SIDE,540 W. Madison
LOOP,10-20 South State Street
NEAR NORTH SIDE,227-237 E. Delaware Place
LOOP,200 West Jackson Blvd.
Near West Side,311 N. Morgan St.
UPTOWN,4240 N Clarendon
ROSELAND,11411 S Eggleston Ave
LAKE VIEW,352-360 W. Wellington Ave.
HYDE PARK,5837 S. Maryland Ave.
BELMONT CRAGIN,2231 N CENTRAL AVE
ARMOUR SQUARE,2701 S Shields Ave
LOOP,29 N. Wacker
NEAR NORTH SIDE,1560 North Sandburg Terrace
EDGEWATER,5445 N. Sheridan Rd.
LINCOLN SQUARE,4500 N Winchester Ave
NEAR SOUTH SIDE,125 E. 21st Street
LAKE VIEW,3740 N. Halsted St.
LOOP,150 North Wacker Drive
WEST TOWN,1740 N. Marshfield
LOOP,321 S. Plymouth Ct.
LOGAN SQUARE,2647 N Elston Avenue
NORTH PARK,5039 N KIMBALL AVE
LINCOLN PARK,2600 N Hampden Court
WEST TOWN,680 N Green Street
WEST RIDGE,1930 W. Loyola Ave
GREATER GRAND CROSSING,7037 S Rhodes Ave
WEST TOWN,525 N Armour St
Near North Side,625 W Division St
UPTOWN,4250 N Marine Dr
NEAR WEST SIDE,2333 W. JACKSON BLVD.
HYDE PARK,5335 S KENWOOD AVE
LAKE VIEW,3321-3333 N.Marshfield
LOOP,720 S. Michigan Avenue
NEAR SOUTH SIDE,1250 S. Michigan Ave.
NEAR WEST SIDE,728 W Jackson Blvd
NEAR WEST SIDE,555 West Roosevelt Road
WEST GARFIELD PARK,223 N KEELER AVE
LOOP,11 East Adams
NEAR WEST SIDE,130 South Canal Street
LAKE VIEW,655 W. Irving Park Road
UPTOWN,920 W Lakeside Place
LOOP,600 South Federal
LINCOLN PARK,2720 N. Sheffield Ave
LOOP,30 North LaSalle Street
NEAR NORTH SIDE,721 N Lasalle Street
LOOP,151 East Wacker Drive
WEST TOWN,1255 North Noble Street
PORTAGE PARK,4730 W Irving Park Rd
WASHINGTON HEIGHTS,10540 S Morgan St
DOUGLAS,3663 S Wabash Ave
WEST RIDGE,6833 N Kedzie Ave
HYDE PARK,1101 East 56th Street
OHARE,8500 west bryn mawr ave
LOOP,125 S Wacker Drive
LINCOLN PARK,1737-1829 W. Fullerton Avenue
NEAR WEST SIDE,1340 W. Washington Blvd.
LAKE VIEW,422 - 424 West Melrose Street
LOOP,611 S. Wells
DOUGLAS,2701 S Indiana Ave
ASHBURN,2601 W 80TH ST
NEAR NORTH SIDE,500 N Michigan
ENGLEWOOD,513 West 72nd Street
NEAR WEST SIDE,1222 W Madison St
ASHBURN,8130 S. California Ave
NEAR WEST SIDE,912 W Lake St
WEST TOWN,984 N. Milwaukee Ave
WEST TOWN,1600 N Talman
WOODLAWN,1427 E. 60th Street
NEAR NORTH SIDE,111 West Division Street
EDGEWATER,5855 N. Sheridan
HYDE PARK,5225 South Harper Ave.
BRIDGEPORT,950 W 33rd Place
Lake View,810 W. Grace
NEAR SOUTH SIDE,1808 S Michigan Ave
GREATER GRAND CROSSING,6311 S Calumet Ave
Near North Side,707 N Wells
WEST TOWN,1401 N. California Ave
LAKE VIEW,851 W Waveland Ave
DOUGLAS,2801 S King Drive
ENGLEWOOD,6531 S. LOWE
HYDE PARK,1401 E HYDE PARK BLVD
BRIGHTON PARK,2916 W. 47th St.
NEAR WEST SIDE,1645 W. Jackson Blvd.
ALBANY PARK,3436 W WILSON AVE
NEAR WEST SIDE,1653 West Congress Parkway
HYDE PARK,1642 E 56th Street
NEAR WEST SIDE,1200 W. Monroe St.
LOOP,70 E. Lake Street
ROGERS PARK,6415 N. Sheridan Rd.
LINCOLN PARK,420 W. Fullerton
JEFFERSON PARK,5414 N Linder Ave
NEAR NORTH SIDE,1350 N Lake Shore Dr.
